nom_type_evenement,nb_evenements,avg_participantes,nb_objectifs_atteints,taux_reussite_pct,avg_budget_prevu_fcfa
"visite de la presidente fondatrice",6,75.0,6,100.0,53333
"mariage ",3,109.0,3,100.0,127003
"installation de l'antenne ",2,61.5,2,100.0,500000
"reunion mensuelle",1,15.0,1,100.0,0
"mariage, anniversaire",1,100.0,1,100.0,0
"visite de la presidente",1,80.0,1,100.0,0
"communions des enfants ",1,28.0,1,100.0,150000
"cassation de resobil",1,35.0,1,100.0,0
"seance de formation ",1,23.0,1,100.0,50000
"communion des enfants des membres ",1,16.0,1,100.0,34000
"cassation generale ",1,50.0,1,100.0,100000
"assemble generale ",1,80.0,1,100.0,1500000
"partage biens, des cadeaux reçu le jour de l'assemblee generale ",1,27.0,1,100.0,0
"non precise",1,0.0,0,0.0,0
"mariage de la fille adoptive de la presidente de l'antenne ",1,200.0,1,100.0,4000000
