antenne_name,nb_suivis,total_chiffre_affaire_fcfa,total_couts_fcfa,total_marge_fcfa,avg_marge_fcfa
MINKAMA,1,2496000,0,2400000,2400000
LELA,1,0,0,570000,570000
FOULASSI,1,500000,0,500000,500000
KOUDANDENG,1,386000,0,386000,386000
MEBASSA,1,200000,0,200000,200000
GIC-CAVO,1,150000,0,150000,150000
"NTSAN MVOG ASSOLO",1,90000,0,90000,90000
NKOLO,1,62500,0,50000,50000
EYENE,1,50000,0,50000,50000
"MBOUA 2",1,45000,0,45000,45000
NKOL-OWONO,1,50000,0,40000,40000
"ONDONDO 1",1,30000,0,30000,30000
MEKAS,1,60000,20000,0,0
"NKOL-MEYOS ",1,0,0,0,0
ZOATOUBSI,1,0,0,0,0
EBANG-MINALA,1,0,0,0,0
EDJEN,1,0,0,0,0
"LEBAMZIP ",1,0,0,0,0
EKEKAM,1,0,0,0,0
MVA'A,1,0,0,0,0
"EKOUM-OUDOUM 1 ",1,0,0,0,0
"NKOM 2",1,0,0,0,0
ELOG-NGAZOUMA,1,0,48000,0,0
"MBELLE 2",1,0,0,0,0
EKOUMDOUMA,1,0,0,0,0
NKOL-OBILI,1,30000,0,0,0
NDJORE,1,0,500000,0,0
MBASSILA,1,0,0,0,0
NKOL-MGBANA,1,0,0,0,0
NKANG-EFOK,1,70000,120000,0,0
NKOLMVACK,1,40000,70000,0,0
MAN,1,60000,0,0,0
EFOK,1,0,90000,0,0
BILON,1,0,700000,0,0
"MBOUA 1",1,0,0,0,0
"MBELLE 1",1,0,0,0,0
